City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Boyolangu,ID,-8.12,111.89,74.3,88,62,6.51,broken clouds
83,Chapleau,CA,47.84,-83.4,66.2,63,75,3.36,broken clouds
84,Ushibuka,JP,32.19,130.02,79.97,81,17,5.23,few clouds
85,Klaksvik,FO,62.23,-6.59,50.0,76,97,11.41,overcast clouds
86,Iqaluit,CA,63.75,-68.51,57.2,41,75,12.75,broken clouds
87,Port Blair,IN,11.67,92.75,82.18,72,86,5.44,overcast clouds
88,Pangnirtung,CA,66.15,-65.71,48.2,87,40,12.75,scattered clouds
89,Temiscaming,CA,46.72,-79.1,66.99,77,75,5.82,broken clouds
90,Gap,FR,44.67,6.0,62.01,87,97,4.56,overcast clouds
91,Qaanaaq,GL,77.48,-69.36,39.94,88,100,8.48,light rain
92,Lebu,CL,-37.62,-73.65,50.02,92,100,15.37,overcast clouds
93,Lexington Park,US,38.27,-76.45,91.0,58,75,6.93,broken clouds
94,Thompson,CA,55.74,-97.86,53.6,93,90,8.05,overcast clouds
95,Cape Town,ZA,-33.93,18.42,54.0,87,40,9.17,scattered clouds
96,Virginia Beach,US,36.85,-75.98,91.99,49,75,6.93,broken clouds
97,Karratha,AU,-20.74,116.85,77.49,33,6,7.14,clear sky
98,Mount Isa,AU,-20.73,139.5,69.8,37,0,9.17,clear sky
99,Butaritari,KI,3.07,172.79,82.49,73,99,13.8,overcast clouds
100,Lingyuan,CN,41.24,119.4,62.89,90,41,1.59,scattered clouds
101,Clyde River,CA,70.47,-68.59,51.8,62,20,10.29,few clouds
102,Codrington,AU,-38.27,141.97,43.07,93,6,9.4,clear sky
103,Luderitz,NA,-26.65,15.16,56.91,74,0,11.77,clear sky
104,Baytown,US,29.74,-94.98,93.0,65,0,5.01,clear sky
105,Les Cayes,HT,18.2,-73.75,89.29,60,1,6.53,clear sky
106,Maragogi,BR,-9.01,-35.22,79.09,71,80,7.92,broken clouds
107,Sitka,US,57.05,-135.33,55.4,87,90,20.8,mist
108,Burnie,AU,-41.07,145.92,52.0,71,54,3.0,broken clouds
109,Yomou,GN,7.56,-9.27,72.46,96,98,4.25,moderate rain
110,Lazaro Cardenas,MX,17.96,-102.2,83.44,70,85,4.54,overcast clouds
111,Visby,SE,57.64,18.3,62.01,67,40,2.24,scattered clouds
112,Abalak,RU,58.13,68.59,59.11,94,94,4.38,overcast clouds
113,Mar Del Plata,AR,-38.0,-57.56,64.4,48,38,12.75,scattered clouds
114,Lasa,IT,46.62,10.7,55.4,100,75,4.7,moderate rain
115,Naqadeh,IR,36.96,45.39,69.01,40,4,2.93,clear sky
116,Tasiilaq,GL,65.61,-37.64,42.8,70,75,5.82,broken clouds
117,Henties Bay,NA,-22.12,14.28,57.99,77,0,8.99,clear sky
118,Torbay,CA,47.67,-52.73,66.99,48,75,24.16,broken clouds
119,Svobodnyy,RU,51.4,128.13,51.44,70,89,9.33,overcast clouds
120,Hobart,AU,-42.88,147.33,53.6,54,84,14.99,broken clouds
121,Kulhudhuffushi,MV,6.62,73.07,82.92,75,4,9.75,light rain
122,Victoria,HK,22.29,114.16,84.0,74,64,3.53,broken clouds
123,Vila Velha,BR,-20.33,-40.29,77.0,83,40,9.17,scattered clouds
124,Bluffton,US,32.24,-80.86,93.99,84,75,12.75,broken clouds
125,Isangel,VU,-19.55,169.27,74.39,84,20,13.44,light rain
126,Road Town,VG,18.42,-64.62,87.8,70,20,6.93,few clouds
127,Kismayo,SO,-0.36,42.55,77.99,78,24,21.41,few clouds
128,Marystown,CA,47.17,-55.15,63.0,100,68,8.99,broken clouds
129,Lima,PE,-12.04,-77.03,62.6,77,90,6.93,overcast clouds
130,Tura,IN,25.52,90.22,74.3,96,67,4.54,broken clouds
131,Changji,CN,44.02,87.32,62.6,67,48,6.71,scattered clouds
132,Adrar,MR,20.5,-10.07,106.93,11,37,8.61,scattered clouds
133,Santa Cruz De La Palma,ES,28.68,-17.76,82.0,74,9,16.11,clear sky
134,Hirara,JP,24.8,125.28,83.05,83,98,8.05,overcast clouds
135,Rocha,UY,-34.48,-54.33,65.1,81,100,6.91,overcast clouds
136,Paita,PE,-5.09,-81.11,77.0,61,40,12.75,scattered clouds
137,Mount Gambier,AU,-37.83,140.77,42.8,100,15,5.82,few clouds
138,Tuktoyaktuk,CA,69.45,-133.04,42.8,81,20,12.75,few clouds
139,Bobrov,RU,51.1,40.03,62.65,82,100,9.46,overcast clouds
140,Faanui,PF,-16.48,-151.75,76.51,80,28,22.1,scattered clouds
141,Kaitangata,NZ,-46.28,169.85,42.01,73,38,1.01,scattered clouds
142,Sorland,NO,67.67,12.69,50.0,71,40,6.93,scattered clouds
